#time,temp
0,72.2
30,71
60,70
90,68.8
120,67.6
150,66.6
180,65.6
210,64.4
240,63.4
270,62.6
300,61.6
330,60.6
360,59.8
390,59
420,58
450,57.2
480,56.4
510,55.6
540,54.8
570,54
600,53.4
630,52.8
660,52
690,51.4
720,50.8
750,50
780,49.6
810,49
840,48.4
870,47.8
900,47.2
930,46.8
960,46.4
990,46
1020,45.4
1050,45
1080,44.6
1110,44
1140,43.4
1170,43
1200,42.6
1230,42.2
1260,41.8
1290,41.2
1320,41
1350,40.4
1380,40
1410,39.8
1440,39.4
1470,39
1500,38.8
1530,38.4
1560,38
1590,37.8
1620,37.4
1650,37.2
1680,36.8
1710,36.6
1740,36.2
1770,36
1800,35.8
1830,35.6
1860,35.2
1890,35
1920,34.8
1950,34.6
1980,34.4
2010,34
2040,34
2340,32
2640,30.8
2940,29.6
3240,28.4
3540,28
3840,27.4
4140,27
4440,26.6
4740,26
