#time,temp
0,85.7
30,84.5
60,84.1
90,83.1
120,82.1
150,81
180,80.2
210,79
240,77.9
270,76.9
300,76
330,74.7
360,73.8
390,73
420,72
450,70.9
480,70
510,69
540,68.1
570,67.4
600,66.4
630,65.7
660,65
690,64
720,63
750,62.5
780,61.6
810,61
840,60
870,59.4
900,58.9
930,58
960,57.2
990,56.8
1020,56
1050,55.3
1080,54.8
1110,54
1140,53.6
1170,53
1200,52.2
1230,52
1260,51.1
1290,50.9
1320,50.1
1350,49.8
1380,49
1410,48.6
1440,48
1470,47.7
1500,47.2
1530,46.8
1560,46.1
1590,46
1620,45.4
1650,45
1680,44.7
1710,44
1740,43.8
1800,43
1830,42.8
1860,42
1890,41.9
1920,41.5
1950,41.2
1980,40.9
2010,40.5
2040,40
2070,39.9
2100,39.5
2130,39
2160,38.9
2190,38.6
2220,38.2
2250,38
2280,37.8
2310,37.5
2340,37.2
2370,37
2400,36.8
