#time,temp
10,75
40,74.2
70,73
100,72.2
130,71.2
160,70.2
190,69.2
220,68.4
250,67.6
280,66.8
310,65.8
340,65
370,64.2
400,63.4
430,62.6
460,61.8
490,61
520,60.2
550,59.6
580,58.8
610,58.2
640,57.4
670,56.8
700,56.2
730,55.4
760,54.8
790,54.2
820,53.8
850,53.2
880,52.6
910,52
940,51.8
970,51
1000,50.6
1030,50
1060,49.6
1090,49
1120,48.6
1150,48.2
1180,47.8
1210,47.2
1240,46.8
1270,46.4
1300,46
1330,45.6
1360,45.2
1390,44.8
1420,44.4
1450,44
1480,43.6
1510,43.2
1540,43
1570,42.6
1600,42.2
1630,42
1660,41.6
1690,41.2
1720,41
1750,40.8
1780,40.2
1810,40
1840,39.8
1870,39.6
1900,39.2
1930,39
1960,38.8
1990,38.4
2020,38.2
2050,38
2350,35.8
2650,34
2950,32.6
3250,31.6
3550,30.4
3850,29.6
4150,29
4450,28.4
4750,27.8
