#time,temp
20,80.2
50,79.6
80,78.8
110,78.4
140,77.6
170,76.8
200,76
230,75.2
260,74.4
290,73.8
320,73
350,72.2
380,71.6
410,70.8
440,70
470,69.2
500,68.6
530,68
560,67.4
590,66.8
620,66
650,65.2
680,64.8
710,64
740,63.4
770,62.8
800,62.2
830,61.1
860,61
890,60.4
920,60
950,59.4
980,59
1010,58.4
1040,58
1070,57.4
1100,57
1130,56.4
1160,56
1190,55.4
1220,55
1250,54.6
1280,54
1310,53.8
1340,53.2
1370,52.8
1400,52.4
1430,52
1460,51.6
1490,51.2
1520,50.6
1550,50.2
1580,50
1610,49.6
1640,49.2
1670,49
1700,48.6
1730,48
1760,47.8
1790,47.6
1820,47
1850,46.8
1880,46.6
1910,46.2
1940,46
1970,45.6
2000,45.2
2030,45
2060,44.8
2360,42
2660,39.8
2960,37.8
3260,36
3560,34.6
3860,33.2
4160,32.2
4460,31.4
4760,30.6
